artist,id,name
"112","1","Dance With Me"
"2 Live Crew","2","Me So Horny"
"2 Pac","3","California Love"
"2 Pac","4","Dear Mama"
"2 Pac","5","Until The End Of Time"
"2 PAC & Elton John","6","Ghetto Gospel"
"50 Cent","7","Candy Shop (Exp)"
"50 Cent","8","In Da Club"
"50 Cent","9","P.I.M.P. (Radio Version)"
"50 Cent Eminem & Adam Levine","10","My Life (Clean)"
"5th Dimension","11","One Less Bell To Answer"
"5th Dimension","12","Stoned Soul Picnic "
"5th Dimension","13","Up Up And Away "
"69 Boys","14","Tootsie Roll"
"Aaliyah","15","Age Ain't Nothin But A Number"
"Aaliyah","16","Miss You"
"Aaliyah","17","More Than A Woman"
"Aaliyah","18","One I Gave My Heart To"
"Aaliyah","19","Try Again"
"Aaliyah & Tank","20","Come Over"
"Aaron Hall","21","All The Places I Will Kiss You"
"Aaron Neville","22","Everybody Plays The Fool "
"Aaron Neville","23","Tell It Like It Is"
"Ace Of Base","24","Don't Turn Around"
"Ace Of Base","25","Don't Turn Around"
"Adele","26","Skyfall"
"Adele","27","Someone Like You"
"Afroman","28","Because I Got High"
"Afroman","29","Because I Got High"
"Afroman","30","Crazy Rap"
"Afroman","31","Crazy Rap"
"Air Supply","32","Making Love Out Of Nothing At All "
"Akon","33","Locked Up"
"Al B Sure","34","Nite & Day"
"Al Green","35","Call Me (Come Back Home)"
"Al Green","36","I'm Still In Love With You"
"Al Green","37","Lets Stay Together "
"Al Green","38","Look What You Done To Me"
"Al Green","39","Tired Of Being Alone"
"Al Green","40","You Ought To Be With Me "
"Al Green ","41","Here I Am (Come And Take Me) "
"Al Jarreau","42","After All"
"Al Jarreau","43","Morning (PS)"
"Al Jarreau","44","Summertime"
"Al Wilson","45","Show And Tell"
"Alabama","46","Old Flame"
"Aladdin","47","Friend Like Me"
"Alexander O'Neal","48","Criticize"
"Alexander O'Neal","49","If You Were Here Tonight "
"Alicia Bridges","50","I Love The Nightlife"
"Alicia Keyes","51","Every Little Bit Hurts"
"Alicia Keyes","52","Girl On Fire"
"Alicia Keyes","53","If I Ain't Got You "
"Alicia Keyes","54","Like You'll Never See Me Again"
"Alicia Keyes","55","Piano & I"
"Alicia Keyes","56","Why Do I Feel So Sad"
"Alicia Keyes","57","You Don't Know My Name"
"Alicia Keyes & Maxwell","58","Fire We Make"
"Alicia Keyes & Usher","59","My Boo "
"Alicia Keys","60","Like You'll Never See Me Again"
"Alicia Keys","61","Piano & I"
"All 4 One","62","I Swear"
"America","63","Horse With No Name "
"Angels","64","My Boyfriend's Back"
"Angie Stone","65","Brotha"
"Angie Stone","66","More Than A Woman"
"Angie Stone","67","No More Rain"
"Angie Stone","68","Wish I Didn't Miss You"
"Angie Stone & Betty Wright","69","Baby"
"Anita Baker","70","Angel"
"Anita Baker","71","Giving You The Best That I Got"
"Anita Baker","72","I Apologize"
"Anita Baker","73","No One In The World"
"Anita Baker","74","Same Ole Love"
"Anita Baker","75","Soul Inspirations"
"Anita Baker","76","Sweet Love"
"Anita Baker","77","Whatever It Takes"
"Anita Baker","78","You Bring Me Joy"
"Anita Ward","79","Ring My Bell"
"Anita Ward","80","Ring My Bell"
"Ann Nesby","81","I'm Still Wearing Your Name"
"Anthony Hamilton","82","Can't Let Go"
"Archie Bell & The Drells","83","Tighten Up"
"Aretha  Franklin","84","Wonderful"
"Aretha Franklin","85","A Deeper Love"
"Aretha Franklin","86","Amazing Grace"
"Aretha Franklin","87","Freeway of Love"
"Aretha Franklin","88","I Say A Little Prayer"
"Aretha Franklin","89","Natural Woman"
"Aretha Franklin","90","Respect"
"Aretha Franklin","91","Rock Steady"
"Aretha Franklin","92"," Spanish Harlem"
"Aretha Franklin","93","Think"
"Aretha Franklin","94","You're All I Need To Get By"
"Ariana Grande","95","Dangerous Woman"
"Arrested Development","96","People Everyday"
"Arrested Development","97","Tennessee"
"Arthur Conley","98","Sweet Soul Music"
"Ashanti","99","Foolish"
"Ashanti","100","Only U"
"Ashanti","101","Only U"
"Ashanti","102","Rain On Me"
"Atlantic Starr","103","I'll Remember You"
"Average White Band","104","Cut The Cake"
"Average White Band","105","Let's Go Round Again"
"Average White Band","106","Pick Up The Pieces"
"Average White Band","107","Work To Do"
"B 52's","108","Love Shack"
"Babyface","109","When Can I See You"
"Babyface & LL Cool J & Howard Hewett","110","This Is For The Lover In You"
"Baha Men","111","Move It Like This"
"Baha Men","112","Who Let The Dogs Out"
"Bangles","113","Walk Like An Egyptian"
"BarKays","114","Shake Your Rump To The Funk"
"Barry Manilow","115","Copacabana"
"Barry Manilow","116","Copacabana.zip"
"Barry White","117","Cant Get Enough Of Your Love, Babe"
"Barry White","118","Come On"
"Barry White","119","I'm Gonna Love You Just A Little More Baby"
"Barry White","120","Just The Way You Are"
"Barry White","121","Never Gonna Give You Up"
"Barry White","122","Practice What You Preach"
"Barry White","123","You're My First, My Last, My Everything"
"BB King","124","The Thrill Is Gone"
"Beach Boys","125","Barbara Ann"
"Beach Boys","126","California Girls"
"Beach Boys","127","Getcha Back"
"Beatles","128","All You Need Is Love"
"Beatles","129","Eleanor Rigby"
"Beatles","130","Hey Jude"
"Beatles","131","Let It Be"
"Beatles","132","She Loves You"
"Beatles","133","Yesterday"
"Beatles","134","Yesterday.zip"
"Bebe Rexha","135","I Got You"
"Bebe Rexha","136","I Got You"
"Bee Gees","137","How Deep Is Your Love"
"Bein Green","138","Kermit The Frog"
"Bell Biv Devoe","139","Do Me"
"Bell Biv Devoe","140","Poison"
"Ben E. King","141","Stand By Me"
"Benny Mardones","142","Into The Night"
"Betty Everett & Jerry Butler","143","Let It Be Me"
"Betty Everett & Jerry Butler","144","Let It Be Me.zip"
"Betty Wright","145","No Pain No Gain"
"Betty Wright","146","Tonight Is The Night"
"Beyonce","147","Countdown (Clean)"
"Beyonce","148","Get Me Bodied"
"Beyonce","149","If I Were A Boy"
"Beyonce","150","Irreplaceable"
"Beyonce","151","Love On Top"
"Beyonce","152","Ring The Alarm"
"Beyonce","153","Single Ladies (Put A Ring On It)"
"Beyonce","154","Work It Out"
"Beyonce & Sean Paul","155","Baby Boy"
"Big & Rich","156","Save A Horse (Ride A Cowboy)"
"Big Joe Turner","157","Shake Rattle & Roll"
"Bill Haley & The Comets","158","Rock Around The Clock"
"Bill Withers","159","Just The Two Of Us"
"Bill Withers","160","Lovely Day"
"Bill Withers","161","Use Me"
"Billie Holiday","162","Good Morning Heartache"
"Billy Idol","163","Eyes Without A Face"
"Billy Idol","164","Rebel Yell"
"Billy Idol","165","White Wedding"
"Billy Ocean","166","Caribbean Queen"
"Billy Ocean","167","Colour Of Love"
"Billy Ocean","168","Get Outta My Dreams, Get Into My Car"
"Billy Ocean","169","Love Is Forever"
"Billy Ocean","170","Love Zone"
"Billy Ocean","171","Suddenly"
"Billy Ocean","172","There'll Be Sad Songs (To Make You Cry)"
"Billy Paul","173","Me & Mrs Jones"
"Billy Preston","174","Nothing From Nothing"
"Billy Preston","175","Will It Go Round In Circles"
"Billy Preston & Syreeta","176","With You I'm Born Again"
"Billy Ray Cyrus","177","Achy Breaky Heart"
"Billy Ray Cyrus","178","Achy Breaky Heart1.zip"
"Billy Vera & The Beaters","179","At This Moment"
"Biz Markie","180","Just A Friend"
"Black Eyed Peas","181","My Humps"
"Black Eyed Peas","182","Where Is The Love"
"Blackbyrds","183","Walkin In Rhythm"
"Blackstreet","184","Before I Let You Go"
"Blackstreet","185","No Diggity"
"Blackstreet","186","Take Me There"
"Blackstreet, Mya, Mase & Blinky Blink","187","Take Me There"
"Blake Shelton","188","She's Got A Way With Words"
"Blue Magic","189","Side Show"
"Bob  Marley","190","I Shot The Sheriff"
"Bob Marley","191","Buffalo Soldier"
"Bob Marley","192","Coming In From The Cold"
"Bob Marley","193","Could You Be Loved"
"Bob Marley","194","Exodus"
"Bob Marley","195","Is This Love"
"Bob Marley","196","Jammin"
"Bob Marley","197","No Woman No Cry  "
"Bob Marley","198","Redemption Song"
"Bob Marley","199","So Much Trouble In The World "
"Bob Marley","200","Three Little Birds"
"Bob Marley","201","Waiting In Vain"
"Bob Marley & Funkstar De Luxe","202","Sun Is Shining"
"Bob Marley & The Wailers","203","Redemption Song (Acoustic Version)"
"Bob Segar","204","Against The Wind"
"Bobby Blue Bland","205","Members Only"
"Bobby Blue Bland","206","Stormy Monday Blues"
"Bobby Blue Bland","207","You're Gonna Love Yourself In The Morning"
"Bobby Brown","208","Don't Be Cruel"
"Bobby Brown","209","Every Little Step"
"Bobby Brown","210","My Prerogative"
"Bobby Caldwell","211","Girl I Dream About"
"Bobby Caldwell","212","Stuck On You"
"Bobby Caldwell","213","What You Won't Do For Love"
"Bobby McFerrin","214","Don't Worry Be Happy"
"Bobby Womack","215","Don't Knock My Love"
"Bobby Womack","216","Harry Hippie"
"Bobby Womack","217","Harry Hippie"
"Bobby Womack","218","If You Think You're Lonely Now"
"Bobby Womack","219","Looking For A Love"
"Bobby Womack","220","Looking For Love"
"Bobby Womack","221","Woman's Gotta Have It"
"Bonnie Tyler","222","Total Eclipse Of The Heart"
"Boys II Men","223","End Of The Road"
"Boys II Men","224","I'll Make Love To You"
"Boys II Men","225","It's So Hard To Say Goodbye"
"Boys II Men","226","On Bended Knee"
"Boys II Men & Mc Lyte","227","What You Won't Do For Love"
"Boyz II Men","228","I Will Get There"
"Boyz II Men","229","Motownphilly(W Vocals"
"Boyz II Men","230","One Sweet Day"
"Boyz II Men","231","Song For Mama"
"Boyz II Men ","232"," Motown Philly"
"Brandy","233","Almost Doesn't Count"
"Brandy","234","Best Friend"
"Brandy","235","Brokenhearted"
"Brandy","236","Full Moon"
"Brandy","237","Have You Ever"
"Brandy","238","I Wanna Be Down"
"Brandy","239","What About Us"
"Brandy & Mase","240","Top Of The World"
"Brandy & Monica","241","The Boy Is Mine"
"Brian McKnight","242","Anytime"
"Brian McKnight","243","Back At One"
"Brian McKnight","244","Crazy Love"
"Brian McKnight","245","Everytime You Go Away"
"Brian McKnight","246","Find Myself In You"
"Brian McKnight","247","Let Me Love You"
"Brian McKnight","248","On The Down Low"
"Brian McKnight","249","One Last Cry"
"Brian McKnight","250","You Should Be Mine"
"Brick","251","Dusic"
"Brook Benton","252","Kiddeo"
"Brook Benton","253","Rainy Night In Georgia"
"Brook Benton","254","Think Twice"
"Brook Benton & Dinah Washington","255","Baby (You've Got What It Takes)"
"Brothers Johnson","256","I'll Be Good To You"
"Brothers Johnson","257","Stomp"
"Brothers Johnson","258","Strawberry Letter #23"
"Brownsville Station","259","Smokin' in the Boys Room"
"Bruno Mars","260","24K Magic "
"Bruno Mars","261","Treasure (Clean)"
"Bruno Mars","262","Uptown Funk"
"Bruno Mars","263","Versace On The Floor"
"Bruno Mars","264","When I Was Your Man"
"Bruno Mars","265","Young Girls"
"Bruno Mars ","266"," 24 K Magic Instrumental Version"
"Bruno Mars ","267"," 24K Magic Clean"
"Bryan Adams","268","When You Love Someone"
"BT Express","269","Do It 'Til You're Satisfied"
"Bubba Sparxxx & Ying Yang Twins","270","Ms. New Booty"
"Busta Rhymes","271","Touch It (Clean Version)"
"C + C Music Factory","272","Gonna Make You Sweat"
"C Side & Keisha Cole","273","Boyfriend /Girlfriend "
"Cameo","274","Candy"
"Cameo","275","She's Strange"
"Cameo","276","Word Up"
"Carl Carlton","277","She's A Bad Mama Jama"
"Carl Douglas","278","Kung Fu Fighting"
"Carole King","279","I Feel The Earth Move"
"Carole King","280","I Feel The Earth Move.zip"
"Carole King","281","You've Got A Friend"
"Carole King","282","Youve Got A Friend.zip"
"Case","283","Lovely"
"Case","284","Missing You"
"Case","285","Touch Me Tease Me"
"Cash Cash & Bebe Rexha","286","Take Me Home"
"Cee Lo Green","287","F U"
"Cee Lo Green","288","It's OK (Clean)"
"Cee Lo Green","289","Music To My Soul"
"Chairmen Of The Board","290","Give Me Just A Little More Time"
"Chairmen Of The Board","291","Give Me Just A Little More Time"
"Chaka Demus","292","Murder She Wrote"
"Chaka Demus & Pliers","293","Tease Me Chaka"
"Chaka Khan","294","I Feel For You"
"Chaka Khan","295","I'm Every Woman"
"Chaka Khan","296","Through The Fire"
"Chaka Khan","297","What Cha' Gonna Do For Me"
"Charles Wright","298","Express Yourself"
"Charley Pride","299","You're So Good When You're Bad"
"Charli XCX","300","Breaking Up"
"Charlie Rich","301","Behind Closed Doors"
"Charlie Wilson","302","Charlie Last Name Wilson"
"Charlie Wilson","303","There Goes My Baby"
"Che'nelle & Cham ","304"," I Fell In Love With The DJ"
"Cher","305","If I Could Turn Back Time"
"Cherrelle","306","Saturday Love"
"Cheryl Lynn","307","Got To Be Real"
"Chic","308","Good Times"
"Chic","309","Le Freak"
"Chico & The Gypsies","310","Comme Toi (Latino)"
"ChiLites","311","Have You Seen Her"
"ChiLites","312","I Found Sunshine"
"ChiLites","313","Letter To Myself"
"ChiLites","314","Oh Girl"
"Chris Brown","315","Say goodbye"
"Chris Brown","316","Turn Up The Music"
"Chris Brown & T Pain","317","Kiss Kiss"
"Chris Brown, Usher & Gucci Mane","318","Party"
"Chris Brownl","319","Yo (Excuse Me Miss)"
"Chris Stapleton","320","Tennessee Whiskey"
"Christina & Lil' Kim & Mya & Pink","321","Lady Marmalade"
"Christina Aguilera","322","What A Girl Wants"
"Christmas","323","Joy To The World"
"Chubby Checker","324","Let's Twist Again"
"Chubby Checker","325","The Twist"
"Chuck Berry","326"," Johnny B. Goode"
"Chuck Berry","327","My Ding A Ling"
"Chuck Berry","328","Rock And Roll Music"
"Chuck Berry","329","You Never Can Tell"
"Chumbawamba","330","Tubthumping"
"Clarence Carter","331","Patches"
"Clarence Carter","332","Slip Away"
"Clarence Carter","333","Strokin'"
"Climax Blues Band","334","Couldn't Get It Right"
"Color Me Badd","335","I Wanna Sex You Up"
"Commodores","336","Easy"
"Commodores","337","Just To Be Close To You"
"Commodores","338","Sweet Love"
"Common & Mary J Blige","339","Come Close To Me"
"Con Funk Shun","340","Ffun"
"Conway Twitty & Loretta Lynn","341","Feelins'"
"Coolio","342","Fantastic Voyage"
"Coolio","343","Gangstas Paradise"
"Cornelius Brothers & Sister Rose","344","Too Late To Turn Back Now"
"Craig David ","345"," Whats Your Flava"
"Curtis Mayfield","346","Move On Up"
"Curtis Mayfield","347","New World Order"
"Curtis Mayfield","348","Superfly"
"Curtis Mayfield & Repercussions","349","Let's Do It Again"
"Cyndi Lauper","350","Girls Just Wanna Have Fun"
"Cyndi Lauper","351","True Colors"
"D'Angelo","352"," Brown Sugar"
"D'Angelo","353","Cruisin"
"D'Angelo","354","Lady"
"Daft Punk Ft Pharrell Williams","355","Get Lucky"
"David Banner& Jazze Pha","356","Touchin'"
"David Guetta & Jennifer Hudson","357","Night Of Your Life"
"David Guetta & Taio Cruz & Ludacis","358","Little Bad Girl"
"David Ruffin","359","Walk Away From Love"
"Deborah Cox","360","Absolutely Not"
"Deborah Cox","361","Nobody's Supposed To Be Here"
"Deborah Cox","362","Where Do We Go From Here"
"Deep Purple","363","Smoke On The Water"
"Delfonics","364","Didn't I Blow Your Mind (This Time)"
"Dells & Dramatics & Delphonics","365","Hey There Lonely Girl"
"Deniece Williams","366","Free"
"Deniece Williams","367","Lets Hear It For The Boy"
"Deniece Williams","368","Silly"
"Deniece Williams","369","That's What Friends Are For"
"Denise La Salle","370","My Toot Toot"
"Dennis Brown","371","Love Has Found It's Way"
"Destiny's Child","372","Cater 2 U"
"Destiny's Child","373","Stand Up For Love"
"Destiny's Child & T.I. & Lil' Wayne","374","Soldier"
"Destinys Child","375","Bootylicious"
"Destinys Child","376","Bug a boo"
"Diamond Rio","377","I Believe"
"Diana  Ross & The Supremes","378","Back In My Arms Again"
"Diana Ross","379","I'm Coming Out "
"Diana Ross","380","Love Hangover"
"Diana Ross","381","Reach Out And Touch "
"Diana Ross","382","Someday We'll Be Together"
"Diana Ross","383","Touch Me In The Morning"
"Diana Ross","384","Upside Down"
"Diana Ross","385","Where Did Our Love Go"
"Diana Ross","386","Why Do Fools Fall In Love"
"Diana Ross & The Supremes","387","Ain't No Mountain High Enough"
"Diana Ross & The Supremes","388","Ain't No Mountain High Enough"
"Diana Ross & The Supremes","389","Come See About Me.zip"
"Diana Ross & The Supremes","390","Love Child"
"Diana Ross & The Supremes","391","Reflections"
"Diana Ross & The Supremes","392","Stop! In The Name Of Love"
"Diana Ross & The Supremes","393","Upside Down"
"Diana Ross & The Supremes","394","Where Did Our Love Go"
"Diana Ross & The Supremes","395","You Keep Me Hanging On"
"Diddy & Nicole Scherzinger","396","Come To Me"
"Digital Underground","397","Humpty Dance"
"Dionne Warwick","398","Do You Know The Way To San Jose"
"Dionne Warwick","399","I Say A Little Prayer"
"Dionne Warwick","400","I'll Never Fall In Love Again"
"Dionne Warwick","401","Then Came You"
"Dionne Warwick","402","What The World Needs Now Is Love"
"Dionne Warwick","403","You'll Never Get To Heaven (If You Break My Heart)"
"Dionne Warwick & Friends","404","That's What Friends Are For"
"Disney (Shrek & Fiona)","405","What I Like About You"
"DJ Casper","406","Cha Cha Slide"
"DJ Fresh & Rita Ora","407","Hot Right Now"
"DJ Jazzy Jeff & The Fresh Prince","408","Summertime"
"DJ Khaled & Justin Bieber & Quavo & Chance The Rapper & Lil Wayne ","409"," I'm The One (Trio)"
"DJ Khaled Ft. Chris Brown, August Alsina, Future & Jeremih","410","Hold You Down (Clean)"
"DJ Khalid ","411"," Location"
"DJ Khalid and Rihanna and Bryson Tiller","412","Wild Thoughts Trio"
"DJ Snake & Justin Bieber","413","Let Me Love You"
"DJ Unk","414","2 Step"
"DJ Unk","415","Walk It Out wVocals"
"Dnce","416","Cake By The Ocean"
"Donell Jones","417","Knocks Me Off My Feet"
"Donna Summer","418","Bad Girls"
"Donna Summer","419","Hot Stuff"
"Donna Summer","420","Last Dance "
"Donna Summer","421","Love To Love You Baby"
"Donna Summer","422","On The Radio"
"Donna Summer","423","She Works Hard For The Money"
"Donnie Hathaway","424","He Ain't Heavy He's My Brother"
"Donnie Hathaway","425","Someday We'll All Be Free"
"Donnie Hathaway","426","This Christmas"
"Doors Down","427","Citizen Soldier"
"Dorothy Moore","428","Misty Blue"
"Dottie West & Kenny Rogers","429","All I Ever Need Is You"
"Dr Dre & Snoop Doggy Dogg","430","Nuthin But A G Thang"
"Dr. Dre & Eminem","431","Forgot About Dre"
"Dr. John","432","Right Place, Wrong Time"
"Drake","433","God's Plan (Clean Version)"
"Drake & Future","434","Big Rings (Clean)"
"Dramatics","435","In The Rain"
"Dramatics","436","Whatcha See Is Whatcha Get"
"Drifters","437","On Broadway"
"Drifters","438","Please Stay"
"Drifters","439","Save The Last Dance For Me"
"Drifters","440","Some Kind Of Wonderful"
"Drifters","441","Spanish Harlem"
"Drifters","442","There Goes My Baby"
"Drifters","443","There Goes My First Love"
"Drifters","444","This Magic Moment"
"Drifters","445","Under The Boardwalk"
"Drifters","446","Up On The Roof"
"Drifters","447","White Christmas"
"Dru Hill","448","In My Bed"
"Dru Hill","449","These Are The Times"
"Dru Hill","450","These Are The Times (wvocal)"
"Duran Duran","451","Hungry Like A Wolf"
"E.U.","452","Da Butt"
"Eagles","453","Hotel California"
"Eagles","454","Hotel California"
"Eagles","455","Life In The Fast Lane"
"Earth Wind & Fire","456","After The Love Has Gone"
"Earth Wind & Fire","457","Devotion"
"Earth Wind & Fire","458","Fantasy"
"Earth Wind & Fire","459","Got To Get You Into My Life"
"Earth Wind & Fire","460","Mighty Mighty"
"Earth Wind & Fire","461","Reasons"
"Earth Wind & Fire","462","September"
"Earth Wind & Fire","463","Sing A Song"
"Earth Wind & Fire","464","Spend The Night"
"Earth Wind & Fire","465","Thats The Way Of The World"
"Earth Wind & Fire & The Emotions","466","Boogie Wonderland"
"Earth, Wind & Fire","467","Let's Groove"
"Eartha Kitt","468","Santa Baby"
"Ed Sheeran","469","Shape Of You"
"Eddie Grant","470","Electric Avenue"
"Eddie Grant","471","I Don't Wanna Dance"
"Eddie Kendricks","472","Boogie Down"
"Eddie Kendricks","473","Keep On Truckin'"
"Eddie Murphy","474","Party All The Time"
"Edwin Starr","475","Twenty Five Miles"
"Edwin Starr","476","War"
"Edwin Starr & War","477","Motown Original"
"Ella Mai","478","Boo'd Up"
"Elton John","479","Bennie And The Jets"
"Elvis Presley","480","Blue Suede Shoes"
"Elvis Presley","481","Heartbreak Hotel"
"Elvis Presley","482","Hound Dog"
"Eminem","483","My Name Is"
"Eminem","484","The Real Slim Shady"
"Eminem","485","Without Me"
"Emotions","486","Best Of My Love"
"En Vogue","487","Whatever"
"Eric Benet","488","You're The Only One"
"Eric Burdon & War","489","Spill The Wine"
"Eric Clapton","490","Cocaine "
"Erikah Badu","491","Bag Lady"
"Erykah Badu","492","Booty"
"Erykah Badu","493","Love Of My Life"
"Erykah Badu","494","On & On"
"Erykah Badu","495","Tyrone"
"Erykah Badu","496","Your Precious Love"
"Etta James","497","At Last"
"Etta James","498","Don't Touch Me"
"Etta James","499","Down Home Blues"
"Etta James","500","Someone To Watch Over Me"
"Eurythmics","501","Sweet Dreams (Are Made Of This)"
"Eurythmics","502","Whos That Girl"
"Eve & Alicia Keys","503","Gangsta Lovin"
"Eve & Swizz Beatz","504","Tambourine"
"Evelyn King","505","Shame"
"Expose","506","Let Me Be The One"
"Fantasia","507","Ain't Gon' Beg You"
"Fantasia","508","Free Yourself"
"Fat Joe & Ashanti","509","What's Luv"
"Fats Domino","510","Ain't That A Shame"
"Fergie","511","Glamorous"
"Fergie","512","Glamorous"
"Five Stairsteps","513","Ooh Child"
"Flamingos","514","I Only Have Eyes For You"
"Flamingos","515","Nobody Loves Me Like You Do"
"Flo Rida","516","Right Round"
"Flo Rida & T Pain","517","Low"
"Floaters","518","Float On"
"Fontella Bass","519","Rescue Me"
"Foo Fighters","520","Long Road To Ruin"
"Four Seasons","521","Who Loves You"
"Four Seasons","522","Working My Way Back To You"
"Four Tops","523","Aint No Woman Like The One I Got"
"Four Tops","524","Ask The Lonely"
"Four Tops","525","Baby I Need Your Loving"
"Four Tops","526","Bernadette"
"Four Tops","527","I Can't Help Myself"
"Four Tops","528","It's The Same Old Song"
"Four Tops","529","Keeper Of The Castle"
"Four Tops","530","Reach Out"
"Four Tops","531","Reach Out I'll Be There"
"Four Tops","532","Standing In The Shadows Of Love"
"Four Tops","533","Sugar Pie Honey Bunch"
"Frank Ocean","534","Thinkin' Bout You"
"Frank Sinatra","535","Dancing In The Dark"
"Frank Sinatra","536","Dancing In The Dark"
"Frank Sinatra","537","For Once In My Life"
"Frank Sinatra","538","Girl From Ipanema"
"Frank Sinatra","539","I Get A Kick Out Of You"
"Frank Sinatra","540","Ive Got You Under My Skin"
"Frank Sinatra","541","My Way "
"Frank Sinatra","542","New York, New York"
"Frank Sinatra","543","Night And Day"
"Frank Sinatra","544","That's Life"
"Frank Sinatra ","545"," My Way"
"Frankie Lymon","546","Why Do Fools Fall In Love"
"Freda Payne","547","Band Of Gold"
"Freddie  Jackson","548","You Are My Lady"
"Freddie Jackson","549","Rock Me Tonight For Old Times Sake"
"Freddy King","550","Down Home Blues"
"Fugees","551","Killing Me Softly "
"Fugees ","552"," Killing Me Softly With His Song"
"GAP Band","553","Big Fun"
